"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_dl","cvpreds","h2o_dl_m"
"1",14.9,19.03644445,61.33333333,76.2,"0",10.4188827849034,14.2918198522253,13.405121441262
"2",13.4,21.134,65.02222222,75.2,"1",10.9544281194044,12.3664926214641,13.8260515000603
"3",11.6,15.58111111,66.28888889,74.88888889,"2",6.82920456045692,10.7347534156692,10.6384323475468
"4",11.9,15.59456522,67.10869565,73.97826087,"3",6.15788741607544,9.62451073338055,11.0321165035276
"5",11.1,15.67788889,67.08888889,74,"4",6.8309314310066,11.0245911206913,10.8311854227808
"6",13.7,17.30622223,66.88888889,74,"5",8.61723299018248,11.5039787200404,12.1396153833298
"7",17.7,23.25777778,65.84444444,74,"6",13.2780722719297,15.2815268985387,15.28050356271
"8",30.8,35.168,64.51111111,75.22222222,"7",22.0484346105522,21.1236452861327,20.8687662711507
"9",12.8,22.62788889,59.2,78.73333333,"8",12.4621249989868,14.3057660846993,13.7175937792457
"10",12.1,11.48288889,50.57777778,83.37777778,"9",4.95937975012585,8.79691551724083,9.37292086160379
"11",11.8,11.94366667,43.2,87.82222222,"10",6.32006529871208,9.62083930917325,10.328855467827
"12",9.4,11.94655556,39.37777778,90.11111111,"11",9.39577326440531,10.702680106102,11.2552123381298
"13",14.1,11.48671875,35.96875,91.96875,"12",8.2960967014341,11.593446281644,11.0219799025244
"14",40.2,37.72466667,32.66666667,94.2,"13",29.5590673256855,26.6946653450945,26.7593922637391
"15",20,17.80455556,32.93333333,93.57777778,"14",13.6170391977464,15.3649248592141,14.7638399620262
"16",15,13.66377778,42.17777778,87.66666667,"15",11.9500629599177,14.1272394960693,13.8299216862571
"17",13.9,11.975,40.04444444,87.4,"16",10.7295074597944,12.9887641137261,13.4090537112667
"18",18.8,15.65433334,40.55555556,87.82222222,"17",14.5481990496616,16.8379361481302,15.8560380801877
"19",19.2,17.80111112,40.26666667,86.86666667,"18",14.9880590757251,16.9219926851393,16.8491466915435
"20",18.9,20.91033334,42.35555556,85.46666667,"19",17.6407059301738,18.7587002572357,17.7917149869888
